Arranjo;municipio;CodArranjo;Código do município;População;Núcleo;Pessoas que trabalham e estudam em outros municípios do arranjo;Índice de integração do município com o arranjo;Mancha Urbanizada Contígua;Município desmembrado de outro do arranjo, após 1988;Nível;Via;Iteração
Adamantina - Lucélia/SP;Adamantina;3500105;3500105;33.797;Sim;2.268;0,10;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Inúbia Paulista;3500105;3520806;3.63;Não;423;0,17;Não;Não;1;-;1
Adamantina - Lucélia/SP;Lucélia;3500105;3527405;19.882;Sim;2.289;0,18;Sim;Não;1;-;0
Adamantina - Lucélia/SP;Mariápolis;3500105;3528908;3.916;Não;499;0,20;Não;Não;1;-;1
Adamantina - Lucélia/SP;Pracinha;3500105;3540853;2.858;Não;261;0,26;Não;Sim;1;-;0
Adrianópolis/PR - Ribeira/SP;Adrianópolis;4100202;4100202;6.376;Sim;180;0,04;Sim;Não;1;-;0
Adrianópolis/PR - Ribeira/SP;Ribeira;4100202;3542800;3.358;Sim;180;0,08;Sim;Não;1;-;0
Águas de Lindóia/SP;Águas de Lindóia;3500501;3500501;17.266;Sim;458;0,04;Sim;Não;1;-;0
Águas de Lindóia/SP;Lindóia;3500501;3527009;6.712;Não;458;0,09;Sim;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Além Paraíba;3101508;3101508;34.349;Sim;2.197;0,09;Não;Não;1;-;0
Além Paraíba/MG - Sapucaia/RJ;Sapucaia;3101508;3305406;17.525;Sim;2.197;0,20;Não;Não;1;-;0
Alto Araguaia/MT;Alto Araguaia;5100300;5100300;15.644;Sim;1.435;0,13;Sim;Não;1;-;0
Alto Araguaia/MT;Santa Rita do Araguaia;5100300;5219407;6.924;Não;1.435;0,30;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Alto Parnaíba;2100501;2100501;10.766;Sim;166;0,02;Sim;Não;1;-;0
Alto Parnaíba/MA - Santa Filomena/PI;Santa Filomena;2100501;2209203;6.096;Não;166;0,04;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Alvorada do Norte;5200803;5200803;8.084;Sim;418;0,07;Sim;Não;1;-;0
Alvorada do Norte - Simolândia/GO;Simolândia;5200803;5220686;6.514;Sim;418;0,10;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;Amarante;2200509;2200509;17.135;Sim;316;0,03;Sim;Não;1;-;0
Amarante/PI - São Francisco do Maranhão/MA;São Francisco do Maranhão;2200509;2110906;12.146;Sim;316;0,04;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Americana;3501608;3501608;210.638;Sim;41.118;0,27;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Nova Odessa;3501608;3533403;51.242;Não;10.848;0,29;Sim;Não;1;-;0
Americana - Santa Bárbara d´Oeste/SP;Santa Bárbara d´Oeste;3501608;3545803;180.009;Sim;35.56;0,27;Sim;Não;1;-;0
Amparo/SP;Amparo;3501905;3501905;65.829;Sim;1.218;0,03;Sim;Não;1;-;0
Amparo/SP;Monte Alegre do Sul;3501905;3531209;7.152;Não;1.218;0,23;Sim;Não;1;-;0
Angical do Piauí/PI;Angical do Piauí;2200608;2200608;6.672;Sim;105;0,02;Sim;Não;1;-;0
Angical do Piauí/PI;Santo Antônio dos Milagres;2200608;2209450;2.059;Não;105;0,08;Sim;Não;1;-;0
Antônio Prado/RS;Antônio Prado;4300802;4300802;12.833;Sim;517;0,05;Sim;Não;1;-;0
Antônio Prado/RS;Ipê;4300802;4310439;6.016;Não;517;0,11;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Anastácio;5001102;5000708;23.835;Sim;3.572;0,21;Sim;Não;1;-;0
Aquidauana - Anastácio/MS;Aquidauana;5001102;5001102;45.614;Sim;3.572;0,11;Sim;Não;1;-;0
Aracaju/SE;Aracaju;2800308;2800308;571.149;Sim;86.935;0,21;Sim;Não;1;-;0
Aracaju/SE;Barra dos Coqueiros;2800308;2800605;24.976;Não;5.362;0,35;Sim;Não;1;-;0
Aracaju/SE;Carmópolis;2800308;2801504;13.503;Não;3.31;0,36;Não;Não;1;-;0
Aracaju/SE;Divina Pastora;2800308;2802007;4.326;Não;761;0,26;Não;Não;1;-;2
Aracaju/SE;General Maynard;2800308;2802502;2.929;Não;791;0,42;Não;Não;2;Via Carmópolis (SE);0
Aracaju/SE;Laranjeiras;2800308;2803609;26.902;Não;5.004;0,30;Não;Não;1;-;0
Aracaju/SE;Maruim;2800308;2804003;16.343;Não;2.348;0,23;Não;Não;1;-;1
Aracaju/SE;Nossa Senhora do Socorro;2800308;2804805;160.827;Não;49.533;0,45;Sim;Não;1;-;0
Aracaju/SE;Riachuelo;2800308;2805901;9.355;Não;1.359;0,22;Não;Não;1;-;1
Aracaju/SE;Rosário do Catete;2800308;2806107;9.221;Não;2.257;0,37;Não;Não;1;-;1
Aracaju/SE;São Cristóvão;2800308;2806701;78.864;Não;30.049;0,54;Não;Não;1;-;0
Aracaju/SE;Siriri;2800308;2807204;8.004;Não;1.097;0,22;Não;Não;1;-;2
Araranguá/SC;Araranguá;4201406;4201406;61.31;Sim;2.09;0,04;Não;Não;1;-;0
Araranguá/SC;Balneário Arroio do Silva;4201406;4201950;9.586;Não;1.831;0,29;Não;Sim;1;-;0
Araranguá/SC;Ermo;4201406;4205191;2.05;Não;281;0,18;Não;Não;1;-;0
Araraquara/SP;Américo Brasiliense;3503208;3501707;34.478;Não;9.857;0,40;Sim;Não;1;-;0
Araraquara/SP;Araraquara;3503208;3503208;208.662;Sim;11.927;0,08;Sim;Não;1;-;0
Araraquara/SP;Gavião Peixoto;3503208;3516853;4.419;Não;1.595;0,46;Não;Sim;1;-;0
Araraquara/SP;Rincão;3503208;3543709;10.414;Não;1.276;0,18;Não;Não;1;-;1
Araraquara/SP;Santa Lúcia;3503208;3546900;8.248;Não;2.745;0,50;Sim;Não;1;-;0
Araripina/PE;Araripina;2601102;2601102;77.302;Sim;1.523;0,03;Não;Não;1;-;0
Araripina/PE;Marcolândia;2601102;2205953;7.812;Não;1.523;0,27;Não;Não;1;-;0
Araruama/RJ;Araruama;3300209;3300209;112.008;Sim;1.151;0,02;Sim;Não;1;-;0
Araruama/RJ;Iguaba Grande;3300209;3301876;22.851;Não;1.151;0,08;Sim;Não;1;-;0
Araxá/MG;Araxá;3104007;3104007;93.672;Sim;835;0,01;Não;Não;1;-;0
