Arranjo,Município Origem,CodOrigem,Latitude Origem,Longitude Origem,Município Destino,CodDestino,Latitude Destino,Longitude Destino,Estudo,Trabalho,Trabalho e Estudo,Movimento Pendular
Adamantina - Lucélia/SP,Adamantina,3500105,-21.682,-51.0737,Inúbia Paulista,3520806,-21.7695,-50.9633,0,13,0,13
Adamantina - Lucélia/SP,Adamantina,3500105,-21.682,-51.0737,Lucélia,3527405,-21.7182,-51.0215,101,535,8,627
Adamantina - Lucélia/SP,Adamantina,3500105,-21.682,-51.0737,Mariápolis,3528908,-21.7959,-51.1824,0,20,0,20
Adamantina - Lucélia/SP,Adamantina,3500105,-21.682,-51.0737,Pracinha,3540853,-21.8496,-51.0868,0,11,0,11
Adamantina - Lucélia/SP,Inúbia Paulista,3520806,-21.7695,-50.9633,Adamantina,3500105,-21.682,-51.0737,59,72,2,129
Adamantina - Lucélia/SP,Inúbia Paulista,3520806,-21.7695,-50.9633,Lucélia,3527405,-21.7182,-51.0215,9,179,0,189
Adamantina - Lucélia/SP,Lucélia,3527405,-21.7182,-51.0215,Adamantina,3500105,-21.682,-51.0737,379,625,8,997
Adamantina - Lucélia/SP,Lucélia,3527405,-21.7182,-51.0215,Inúbia Paulista,3520806,-21.7695,-50.9633,10,73,0,83
Adamantina - Lucélia/SP,Lucélia,3527405,-21.7182,-51.0215,Pracinha,3540853,-21.8496,-51.0868,12,65,0,78
Adamantina - Lucélia/SP,Mariápolis,3528908,-21.7959,-51.1824,Adamantina,3500105,-21.682,-51.0737,114,189,10,293
Adamantina - Lucélia/SP,Mariápolis,3528908,-21.7959,-51.1824,Lucélia,3527405,-21.7182,-51.0215,6,112,0,118
Adamantina - Lucélia/SP,Pracinha,3540853,-21.8496,-51.0868,Adamantina,3500105,-21.682,-51.0737,35,10,4,40
Adamantina - Lucélia/SP,Pracinha,3540853,-21.8496,-51.0868,Lucélia,3527405,-21.7182,-51.0215,12,84,1,95
Adamantina - Lucélia/SP,Pracinha,3540853,-21.8496,-51.0868,Mariápolis,3528908,-21.7959,-51.1824,0,3,0,3
Adrianópolis/PR - Ribeira/SP,Ribeira,3542800,-24.6517,-49.0044,Adrianópolis,4100202,-24.6606,-48.9922,36,82,0,119
Adrianópolis/PR - Ribeira/SP,Adrianópolis,4100202,-24.6606,-48.9922,Ribeira,3542800,-24.6517,-49.0044,29,23,0,53
Águas de Lindóia/SP,Águas de Lindóia,3500501,-22.4733,-46.6314,Lindóia,3527009,-22.5226,-46.65,5,128,0,134
Águas de Lindóia/SP,Lindóia,3527009,-22.5226,-46.65,Águas de Lindóia,3500501,-22.4733,-46.6314,39,262,2,299
Além Paraíba/MG - Sapucaia/RJ,Além Paraíba,3101508,-21.8797,-42.7176,Sapucaia,3305406,-21.9949,-42.9142,128,1151,11,1268
Além Paraíba/MG - Sapucaia/RJ,Sapucaia,3305406,-21.9949,-42.9142,Além Paraíba,3101508,-21.8797,-42.7176,462,393,18,837
Alto Araguaia/MT,Alto Araguaia,5100300,-17.3153,-53.2181,Santa Rita do Araguaia,5219407,-17.3269,-53.2012,20,192,0,213
Alto Araguaia/MT,Santa Rita do Araguaia,5219407,-17.3269,-53.2012,Alto Araguaia,5100300,-17.3153,-53.2181,301,840,60,1080
Alto Parnaíba/MA - Santa Filomena/PI,Alto Parnaíba,2100501,-9.10273,-45.9303,Santa Filomena,2209203,-9.11228,-45.9116,72,51,0,123
Alto Parnaíba/MA - Santa Filomena/PI,Santa Filomena,2209203,-9.11228,-45.9116,Alto Parnaíba,2100501,-9.10273,-45.9303,29,13,0,43
Alvorada do Norte - Simolândia/GO,Alvorada do Norte,5200803,-14.4797,-46.491,Simolândia,5220686,-14.4644,-46.4847,36,88,0,124
Alvorada do Norte - Simolândia/GO,Simolândia,5220686,-14.4644,-46.4847,Alvorada do Norte,5200803,-14.4797,-46.491,69,209,0,279
Amarante/PI - São Francisco do Maranhão/MA,São Francisco do Maranhão,2110906,-6.25159,-42.8668,Amarante,2200509,-6.24304,-42.8433,128,79,0,207
Amarante/PI - São Francisco do Maranhão/MA,Amarante,2200509,-6.24304,-42.8433,São Francisco do Maranhão,2110906,-6.25159,-42.8668,5,96,0,102
Americana - Santa Bárbara d´Oeste/SP,Americana,3501608,-22.7374,-47.3331,Nova Odessa,3533403,-22.7832,-47.2941,56,2704,0,2761
Americana - Santa Bárbara d´Oeste/SP,Americana,3501608,-22.7374,-47.3331,Santa Bárbara d'Oeste,3545803,-22.7553,-47.4143,1784,5673,228,7228
Americana - Santa Bárbara d´Oeste/SP,Nova Odessa,3533403,-22.7832,-47.2941,Americana,3501608,-22.7374,-47.3331,1103,3642,186,4559
Americana - Santa Bárbara d´Oeste/SP,Nova Odessa,3533403,-22.7832,-47.2941,Santa Bárbara d'Oeste,3545803,-22.7553,-47.4143,148,464,47,565
Americana - Santa Bárbara d´Oeste/SP,Santa Bárbara d'Oeste,3545803,-22.7553,-47.4143,Americana,3501608,-22.7374,-47.3331,3845,19555,854,22546
Americana - Santa Bárbara d´Oeste/SP,Santa Bárbara d'Oeste,3545803,-22.7553,-47.4143,Nova Odessa,3533403,-22.7832,-47.2941,19,1716,0,1735
Amparo/SP,Amparo,3501905,-22.7088,-46.772,Monte Alegre do Sul,3531209,-22.6817,-46.681,76,233,0,310
Amparo/SP,Monte Alegre do Sul,3531209,-22.6817,-46.681,Amparo,3501905,-22.7088,-46.772,257,551,58,751
Angical do Piauí/PI,Angical do Piauí,2200608,-6.08786,-42.74,Santo Antônio dos Milagres,2209450,-6.04647,-42.7123,2,35,0,37
Angical do Piauí/PI,Santo Antônio dos Milagres,2209450,-6.04647,-42.7123,Angical do Piauí,2200608,-6.08786,-42.74,41,22,0,64
Antônio Prado/RS,Antônio Prado,4300802,-28.8565,-51.2883,Ipê,4310439,-28.8171,-51.2859,9,129,13,125
Antônio Prado/RS,Ipê,4310439,-28.8171,-51.2859,Antônio Prado,4300802,-28.8565,-51.2883,45,289,2,332
Aquidauana - Anastácio/MS,Anastácio,5000708,-20.4823,-55.8104,Aquidauana,5001102,-20.4666,-55.7868,1106,1875,160,2821
Aquidauana - Anastácio/MS,Aquidauana,5001102,-20.4666,-55.7868,Anastácio,5000708,-20.4823,-55.8104,35,363,0,398
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Barra dos Coqueiros,2800605,-10.8996,-37.0323,0,586,0,586
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Carmópolis,2801504,-10.6449,-36.9887,0,1097,0,1097
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Divina Pastora,2802007,-10.6782,-37.1506,55,77,0,132
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,General Maynard,2802502,-10.6835,-36.9838,0,29,0,29
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Laranjeiras,2803609,-10.7981,-37.1731,310,1115,0,1426
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Maruim,2804003,-10.7308,-37.0856,15,284,0,299
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Nossa Senhora do Socorro,2804805,-10.8468,-37.1231,358,2997,1,3355
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Riachuelo,2805901,-10.735,-37.1966,0,201,0,201
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Rosário do Catete,2806107,-10.6904,-37.0357,19,388,0,408
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,São Cristóvão,2806701,-11.0084,-37.2044,7692,1962,345,9309
Aracaju/SE,Aracaju,2800308,-10.9091,-37.0677,Siriri,2807204,-10.5965,-37.1131,0,66,0,66
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,Aracaju,2800308,-10.9091,-37.0677,1034,2944,206,3772
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,Carmópolis,2801504,-10.6449,-36.9887,0,28,0,28
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,Laranjeiras,2803609,-10.7981,-37.1731,15,30,0,46
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,Maruim,2804003,-10.7308,-37.0856,0,5,0,5
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,Nossa Senhora do Socorro,2804805,-10.8468,-37.1231,4,25,0,30
Aracaju/SE,Barra dos Coqueiros,2800605,-10.8996,-37.0323,São Cristóvão,2806701,-11.0084,-37.2044,67,11,0,78
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Aracaju,2800308,-10.9091,-37.0677,191,103,10,285
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,General Maynard,2802502,-10.6835,-36.9838,0,13,0,13
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Maruim,2804003,-10.7308,-37.0856,0,10,0,10
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Nossa Senhora do Socorro,2804805,-10.8468,-37.1231,0,5,0,5
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Riachuelo,2805901,-10.735,-37.1966,0,5,0,5
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Rosário do Catete,2806107,-10.6904,-37.0357,0,24,0,24
Aracaju/SE,Carmópolis,2801504,-10.6449,-36.9887,Siriri,2807204,-10.5965,-37.1131,0,5,0,5
Aracaju/SE,Divina Pastora,2802007,-10.6782,-37.1506,Aracaju,2800308,-10.9091,-37.0677,65,148,4,209
Aracaju/SE,Divina Pastora,2802007,-10.6782,-37.1506,Barra dos Coqueiros,2800605,-10.8996,-37.0323,0,4,0,4
Aracaju/SE,Divina Pastora,2802007,-10.6782,-37.1506,Carmópolis,2801504,-10.6449,-36.9887,0,12,0,12
Aracaju/SE,Divina Pastora,2802007,-10.6782,-37.1506,Laranjeiras,2803609,-10.7981,-37.1731,7,19,0,26
