cod_origem;Mun_origem;point_latitude;point_longitude;cod_destino;Mun_destino;Movimento_Pendular;point_latitude;point_longitude;Arranjo;departure;arrival
4114203;MANDAGUARI;-23,548;-51,671;4112108;JANDAIA DO SUL;309;-23,603;-51,643;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4126256;SARANDI;-23,444;-51,874;4115200;MARINGÁ;22082;-23,425;-51,939;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4126256;SARANDI;2142;-23,444;-51,874;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4117503;PAIÇANDU;-23,458;-52,049;4115200;MARINGÁ;9891;-23,425;-51,939;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4117503;PAIÇANDU;659;-23,458;-52,049;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114104;MANDAGUAÇU;-23,347;-52,095;4115200;MARINGÁ;3354;-23,425;-51,939;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4114104;MANDAGUAÇU;502;-23,347;-52,095;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114807;MARIALVA;-23,485;-51,792;4115200;MARINGÁ;2680;-23,425;-51,939;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4114807;MARIALVA;608;-23,485;-51,792;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114203;MANDAGUARI;-23,548;-51,671;4115200;MARINGÁ;1364;-23,425;-51,939;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4114203;MANDAGUARI;75;-23,548;-51,671;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4116901;NOVA ESPERANÇA;-23,184;-52,205;4115200;MARINGÁ;1055;-23,425;-51,939;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4116901;NOVA ESPERANÇA;92;-23,184;-52,205;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114807;MARIALVA;-23,485;-51,792;4126256;SARANDI;502;-23,444;-51,874;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4126256;SARANDI;-23,444;-51,874;4114807;MARIALVA;502;-23,485;-51,792;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4110003;IGUARAÇU;-23,197;-51,828;4115200;MARINGÁ;502;-23,425;-51,939;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4110003;IGUARAÇU;133;-23,197;-51,828;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
4112108;JANDAIA DO SUL;-23,603;-51,643;4114203;MANDAGUARI;308;-23,548;-51,671;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4102109;ASTORGA;-23,233;-51,666;4115200;MARINGÁ;529;-23,425;-51,939;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4115200;MARINGÁ;-23,425;-51,939;4102109;ASTORGA;51;-23,233;-51,666;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114807;MARIALVA;-23,485;-51,792;4114203;MANDAGUARI;234;-23,548;-51,671;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4114203;MANDAGUARI;-23,548;-51,671;4114807;MARIALVA;198;-23,485;-51,792;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4112108;JANDAIA DO SUL;-23,603;-51,643;4103800;CAMBIRA;135;-23,583;-51,578;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4103800;CAMBIRA;-23,583;-51,578;4112108;JANDAIA DO SUL;255;-23,603;-51,643;False;2010-31-07 10:30:0';2010-31-07 11:00:0'
4126256;SARANDI;-23,444;-51,874;4117503;PAIÇANDU;66;-23,458;-52,049;True;2010-31-07 10:30:0';2010-31-07 11:00:0'
